Construction,Area_in_Sqft,Price,Owner_info,Locality,BHK,Price_per_sqft
Under Construction,1020, 35.7 L,OWNER,Miyapur,2,"3,500 / sq ft"
Under Construction,1570, 36 L,OWNER,muthangi,2,"2,292 / sq ft"
Under Construction,1160, 26 L,OWNER,muthangi,2,"2,241 / sq ft"
Under Construction,1570, 36 L,OWNER,muthangi,2,"2,292 / sq ft"
Under Construction,1570, 36 L,OWNER,muthangi,3,"2,292 / sq ft"
Under Construction,1500, 26 L,OWNER,muthangi,2,"1,733 / sq ft"
Under Construction,1560, 36 L,OWNER,muthangi,3,"2,307 / sq ft"
Under Construction,1560, 36 L,OWNER,muthangi,3,"2,307 / sq ft"
Under Construction,1160, 26 L,OWNER,muthangi,2,"2,241 / sq ft"
Under Construction,1240, 43.4 L,OWNER,Miyapur,3,"3,500 / sq ft"
Under Construction,1020, 35.7 L,OWNER,Miyapur,2,"3,500 / sq ft"
Under Construction,1160, 26 L,OWNER,muthangi,2,"2,241 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1570, 36 L,OWNER,muthangi,3,"2,292 / sq ft"
Under Construction,1160, 26 L,OWNER,muthangi,2,"2,241 / sq ft"
Under Construction,1160, 26 L,OWNER,muthangi,2,"2,241 / sq ft"
Under Construction,1530, 26 L,OWNER,muthangi,2,"1,699 / sq ft"
Under Construction,1160, 26 L,OWNER,muthangi,2,"2,241 / sq ft"
Under Construction,1160, 26 L,OWNER,muthangi,2,"2,241 / sq ft"
Under Construction,1530, 26 L,OWNER,muthangi,2,"1,699 / sq ft"
Under Construction,1160, 26 L,OWNER,muthangi,2,"2,241 / sq ft"
Under Construction,1020, 35.7 L,OWNER,Miyapur,2,"3,500 / sq ft"
Under Construction,1240, 43.4 L,OWNER,Miyapur,3,"3,500 / sq ft"
Under Construction,1240, 43.4 L,OWNER,Miyapur,3,"3,500 / sq ft"
Under Construction,1240, 43.4 L,OWNER,Miyapur,3,"3,500 / sq ft"
Under Construction,1570, 36 L,OWNER,muthangi,2,"2,292 / sq ft"
Under Construction,1570, 36 L,OWNER,muthangi,2,"2,292 / sq ft"
Under Construction,1570, 36 L,OWNER,muthangi,2,"2,292 / sq ft"
Under Construction,1570, 36 L,OWNER,muthangi,2,"2,292 / sq ft"
Under Construction,1570, 36 L,OWNER,muthangi,2,"2,292 / sq ft"
Under Construction,1570, 36 L,OWNER,muthangi,3,"2,292 / sq ft"
Under Construction,1570, 36 L,OWNER,muthangi,3,"2,292 / sq ft"
Under Construction,1570, 36 L,OWNER,muthangi,3,"2,292 / sq ft"
Under Construction,1570, 36 L,OWNER,muthangi,3,"2,292 / sq ft"
Under Construction,1570, 36 L,OWNER,muthangi,3,"2,292 / sq ft"
Under Construction,1570, 36 L,OWNER,muthangi,3,"2,292 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Ready to move,3000, 1.31 Cr,OWNER,AS Rao Nagar,3,"4,366 / sq ft"
Ready to move,3000, 1.31 Cr,OWNER,AS Rao Nagar,3,"4,366 / sq ft"
Ready to move,3000, 1.31 Cr,OWNER,AS Rao Nagar,3,"4,366 / sq ft"
Ready to move,3000, 1.31 Cr,OWNER,AS Rao Nagar,3,"4,366 / sq ft"
Ready to move,3000, 1.19 Cr,OWNER,AS Rao Nagar,3,"3,966 / sq ft"
Ready to move,3000, 1.31 Cr,OWNER,AS Rao Nagar,3,"4,366 / sq ft"
Under Construction,1300, 60 L,OWNER,Pasumamula,2,"4,615 / sq ft"
Under Construction,1300, 60 L,OWNER,Pasumamula,2,"4,615 / sq ft"
Under Construction,1300, 60 L,OWNER,Pasumamula,2,"4,615 / sq ft"
Under Construction,1300, 60 L,OWNER,Pasumamula,2,"4,615 / sq ft"
Under Construction,1300, 60 L,OWNER,Pasumamula,2,"4,615 / sq ft"
Under Construction,1300, 60 L,OWNER,Pasumamula,2,"4,615 / sq ft"
Under Construction,1300, 60 L,OWNER,Pasumamula,2,"4,615 / sq ft"
Under Construction,1800, 1 Cr,OWNER,Kondakal,4,"5,555 / sq ft"
Ready to move,1197, 62 L,OWNER,Chengicherla,2,"5,179 / sq ft"
Ready to move,1130, 53.72 L,OWNER,Karmanghat,2,"4,753 / sq ft"
Ready to move,870, 32 L,OWNER,Meerpet,2,"3,678 / sq ft"
Ready to move,1870, 1.66 Cr,OWNER,Nanakramguda,3,"8,877 / sq ft"
Ready to move,700, 26 L,OWNER,Manikonda,2,"3,714 / sq ft"
Ready to move,1197, 62 L,OWNER,Chengicherla,2,"5,179 / sq ft"
Ready to move,1220, 65 L,OWNER,Suchitra,2,"5,327 / sq ft"
Under Construction,1595, 35 L,OWNER,muthangi,3,"2,194 / sq ft"
Under Construction,1595, 35 L,OWNER,muthangi,3,"2,194 / sq ft"
Ready to move,864, 32 L,OWNER,Jeedimetla,2,"3,703 / sq ft"
Ready to move,864, 32 L,OWNER,Jeedimetla,2,"3,703 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1595, 35 L,OWNER,muthangi,3,"2,194 / sq ft"
Under Construction,1595, 35 L,OWNER,muthangi,3,"2,194 / sq ft"
Under Construction,1595, 35 L,OWNER,muthangi,3,"2,194 / sq ft"
Under Construction,1595, 35 L,OWNER,muthangi,3,"2,194 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1595, 35 L,OWNER,muthangi,3,"2,194 / sq ft"
Under Construction,1595, 35 L,OWNER,muthangi,3,"2,194 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1595, 35 L,OWNER,muthangi,3,"2,194 / sq ft"
Under Construction,1595, 35 L,OWNER,muthangi,3,"2,194 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1595, 35 L,OWNER,muthangi,3,"2,194 / sq ft"
Under Construction,1595, 35 L,OWNER,muthangi,3,"2,194 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Under Construction,1170, 26 L,OWNER,muthangi,2,"2,222 / sq ft"
Ready to move,1220, 65 L,OWNER,Suchitra,2,"5,327 / sq ft"
Ready to move,864, 32 L,OWNER,Jeedimetla,2,"3,703 / sq ft"
Resale,1500, 28 L,OWNER,Shankarpalli,Residential Plot,"1,866 / sq ft"
Resale,1850, 24 L,OWNER,Desh Mukhi,Residential Plot,"1,297 / sq ft"
Ready to move,1200, 57 L,OWNER,Alwal,2,"4,750 / sq ft"
Under Construction,1310, 56 L,OWNER,Vanasthalipuram,3,"4,274 / sq ft"
Under Construction,1945, 54.44 L,OWNER,Kompally,3,"2,798 / sq ft"
Under Construction,1945, 54.44 L,OWNER,Kompally,3,"2,798 / sq ft"
Under Construction,1945, 54.44 L,OWNER,Kompally,3,"2,798 / sq ft"
Under Construction,1945, 54.44 L,OWNER,Kompally,3,"2,798 / sq ft"
Under Construction,1182, 50 L,OWNER,Shankarpalli,2,"4,230 / sq ft"
Under Construction,1182, 50 L,OWNER,Shankarpalli,2,"4,230 / sq ft"
Under Construction,1182, 50 L,OWNER,Shankarpalli,2,"4,230 / sq ft"
Under Construction,1182, 50 L,OWNER,Shankarpalli,2,"4,230 / sq ft"
Under Construction,1182, 50 L,OWNER,Shankarpalli,2,"4,230 / sq ft"
Under Construction,1182, 50 L,OWNER,Shankarpalli,2,"4,230 / sq ft"
Under Construction,1182, 50 L,OWNER,Shankarpalli,2,"4,230 / sq ft"
Under Construction,1182, 50 L,OWNER,Shankarpalli,2,"4,230 / sq ft"
Under Construction,1182, 50 L,OWNER,Shankarpalli,2,"4,230 / sq ft"
Under Construction,1182, 50 L,OWNER,Shankarpalli,2,"4,230 / sq ft"
Under Construction,1182, 50 L,OWNER,Shankarpalli,2,"4,230 / sq ft"
Under Construction,1182, 50 L,OWNER,Shankarpalli,2,"4,230 / sq ft"
Ready to move,1470, 69.7 L,OWNER,Bachupally,3,"4,741 / sq ft"
Ready to move,1470, 69.5 L,OWNER,Bachupally,3,"4,727 / sq ft"
Under Construction,1945, 54.44 L,OWNER,Kompally,3,"2,798 / sq ft"
Under Construction,1945, 54.44 L,OWNER,Kompally,3,"2,798 / sq ft"
Under Construction,1945, 54.44 L,OWNER,Kompally,3,"2,798 / sq ft"
Under Construction,1945, 54.44 L,OWNER,Kompally,3,"2,798 / sq ft"
Under Construction,1945, 54.44 L,OWNER,Kompally,3,"2,798 / sq ft"
Under Construction,1945, 54.44 L,OWNER,Kompally,3,"2,798 / sq ft"
Resale,450, 43 L,OWNER,Gachibowli,Residential Plot,"9,555 / sq ft"
Resale,1530, 23 L,OWNER,Shankarpalli,Residential Plot,"1,503 / sq ft"
Under Construction,2000, 90 L,OWNER,Malkajgiri,4,"4,500 / sq ft"
Ready to move,1525, 90 L,OWNER,East Marredpally,3,"5,901 / sq ft"
Resale,1314, 6.57 L,OWNER,Shadnagar,Residential Plot,500 / sq ft
Under Construction,1200, 35 L,OWNER,Pragathi Nagar Kukatpally,2,"2,916 / sq ft"
Under Construction,1228, 65 L,OWNER,Tellapur,2,"5,293 / sq ft"
Ready to move,2520, 2.3 Cr,OWNER,Balapur,4,"9,126 / sq ft"
Ready to move,947, 30 L,OWNER,Bandlaguda Jagir,2,"3,167 / sq ft"
Under Construction,1142, 52.96 L,OWNER,Shankarpalli,2,"4,637 / sq ft"
Ready to move,1100, 1.05 Cr,OWNER,Bandlaguda Jagir,2,"9,545 / sq ft"
Ready to move,1100, 1.05 Cr,OWNER,Bandlaguda Jagir,2,"9,545 / sq ft"
Ready to move,1100, 1.05 Cr,OWNER,Bandlaguda Jagir,2,"9,545 / sq ft"
Ready to move,1120, 66 L,OWNER,Pedda Amberpet,2,"5,892 / sq ft"
Ready to move,950, 40 L,OWNER,Sainikpuri,2,"4,210 / sq ft"
Ready to move,950, 40 L,OWNER,Sainikpuri,2,"4,210 / sq ft"
Under Construction,930, 45 L,OWNER,Patancheru,2,"4,838 / sq ft"
Under Construction,930, 45 L,OWNER,Patancheru,2,"4,838 / sq ft"
Under Construction,930, 45 L,OWNER,Patancheru,2,"4,838 / sq ft"
Under Construction,930, 45 L,OWNER,Patancheru,2,"4,838 / sq ft"
Under Construction,930, 45 L,OWNER,Patancheru,2,"4,838 / sq ft"
Ready to move,950, 40 L,OWNER,Sainikpuri,2,"4,210 / sq ft"
Ready to move,950, 40 L,OWNER,Sainikpuri,2,"4,210 / sq ft"
Ready to move,1090, 59.5 L,OWNER,Moosarambagh Road,2,"5,458 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,3500, 1.8 Cr,OWNER,Kukatpally,6,"5,142 / sq ft"
Ready to move,1032, 1.5 Cr,OWNER,Osman Nagar,2,"14,534 / sq ft"
Under Construction,1600, 40 L,OWNER,Bhanur,3,"2,500 / sq ft"
Under Construction,1600, 40 L,OWNER,Bhanur,3,"2,500 / sq ft"
Ready to move,1032, 1.5 Cr,OWNER,Osman Nagar,2,"14,534 / sq ft"
Ready to move,1032, 1.5 Cr,OWNER,Osman Nagar,2,"14,534 / sq ft"
Ready to move,1032, 1.5 Cr,OWNER,Osman Nagar,2,"14,534 / sq ft"
Resale,1566, 20 L,OWNER,Kothur Patti Digwal,Residential Plot,"1,277 / sq ft"
Resale,1566, 20 L,OWNER,Kothur Patti Digwal,Residential Plot,"1,277 / sq ft"
Resale,1566, 20 L,OWNER,Kothur Patti Digwal,Residential Plot,"1,277 / sq ft"
Resale,1566, 20 L,OWNER,Kothur Patti Digwal,Residential Plot,"1,277 / sq ft"
Resale,1566, 20 L,OWNER,Kothur Patti Digwal,Residential Plot,"1,277 / sq ft"
Resale,1800, 36 L,OWNER,Nagole,Residential Plot,"2,000 / sq ft"
Ready to move,2325, 84.5 L,OWNER,Mettuguda,3,"3,634 / sq ft"
Under Construction,1000, 35 L,OWNER,Patancheru,2,"3,500 / sq ft"
Resale,1800, 48 L,OWNER,Bhanur,Residential Plot,"2,666 / sq ft"
Ready to move,990, 58 L,OWNER,Badangpet,2,"5,858 / sq ft"
Under Construction,1250, 30 L,OWNER,Kollur,2,"2,400 / sq ft"
Under Construction,1200, 44 L,OWNER,Pragathi Nagar Kukatpally,2,"3,666 / sq ft"
Under Construction,1200, 44 L,OWNER,Pragathi Nagar Kukatpally,2,"3,666 / sq ft"
Under Construction,1200, 44 L,OWNER,Pragathi Nagar Kukatpally,2,"3,666 / sq ft"
Under Construction,1200, 44 L,OWNER,Pragathi Nagar Kukatpally,2,"3,666 / sq ft"
Under Construction,1250, 30 L,OWNER,Kollur,2,"2,400 / sq ft"
Resale,1575, 30 L,OWNER,Kothur,Residential Plot,"1,904 / sq ft"
Resale,1575, 30 L,OWNER,Kothur,Residential Plot,"1,904 / sq ft"
Ready to move,1515, 82 L,OWNER,Kondapur,3,"5,412 / sq ft"
Ready to move,1515, 82 L,OWNER,Kondapur,3,"5,412 / sq ft"
Ready to move,1145, 87 L,OWNER,Kukatpally,2,"7,598 / sq ft"
Ready to move,2005, 3 Cr,OWNER,Kompally,3,"14,962 / sq ft"
Ready to move,1900, 91 L,OWNER,Bollaram,3,"4,789 / sq ft"
Ready to move,1515, 82 L,OWNER,Kondapur,3,"5,412 / sq ft"
Under Construction,4000, 2.2 Cr,OWNER,Mokila,6,"5,500 / sq ft"
Under Construction,4000, 2.2 Cr,OWNER,Mokila,6,"5,500 / sq ft"
Under Construction,4000, 2.2 Cr,OWNER,Mokila,6,"5,500 / sq ft"
Under Construction,4000, 2.2 Cr,OWNER,Mokila,6,"5,500 / sq ft"
Under Construction,4000, 2.2 Cr,OWNER,Mokila,6,"5,500 / sq ft"
Ready to move,1100, 22 L,OWNER,Shamirpet,2,"2,000 / sq ft"
Ready to move,750, 40 L,OWNER,LB Nagar,2,"5,333 / sq ft"
Ready to move,1040, 29.5 L,OWNER,Pragathi Nagar Kukatpally,2,"2,836 / sq ft"
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Resale,2727, 18.18 L,OWNER,Chevella,Residential Plot,666 / sq ft
Under Construction,1230, 43.05 L,OWNER,Miyapur,3,"3,500 / sq ft"
Under Construction,1150, 38.5 L,OWNER,Aminpur,2,"3,347 / sq ft"
Under Construction,1590, 56.65 L,OWNER,Chandanagar,3,"3,562 / sq ft"
Under Construction,1605, 56.17 L,OWNER,Miyapur,2,"3,500 / sq ft"
Under Construction,1595, 55.82 L,OWNER,Chandanagar Vill,3,"3,500 / sq ft"
Under Construction,1340, 46.9 L,OWNER,Chandanagar Vill,2,"3,500 / sq ft"
Under Construction,1025, 35.87 L,OWNER,Miyapur,2,"3,500 / sq ft"
Under Construction,1060, 37.1 L,OWNER,Miyapur,2,"3,500 / sq ft"
Under Construction,1230, 43.05 L,OWNER,Miyapur,2,"3,500 / sq ft"
Under Construction,1100, 38.5 L,OWNER,Miyapur,2,"3,500 / sq ft"
Under Construction,1530, 53.55 L,OWNER,Miyapur,3,"3,500 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Ready to move,1450, 85 L,OWNER,Madhapur,3,"5,862 / sq ft"
Under Construction,2600, 1.43 Cr,OWNER,Mokila,6,"5,500 / sq ft"
Resale,3600, 98 L,OWNER,Kundanpally,Residential Plot,"2,722 / sq ft"
Resale,3600, 98 L,OWNER,Kundanpally,Residential Plot,"2,722 / sq ft"
Resale,3600, 98 L,OWNER,Kundanpally,Residential Plot,"2,722 / sq ft"
Resale,3600, 98 L,OWNER,Kundanpally,Residential Plot,"2,722 / sq ft"
Resale,3600, 98 L,OWNER,Kundanpally,Residential Plot,"2,722 / sq ft"
Resale,3600, 98 L,OWNER,Kundanpally,Residential Plot,"2,722 / sq ft"
Resale,1450, 27 L,OWNER,Kothur,Residential Plot,"1,862 / sq ft"
Ready to move,2800, 2.5 Cr,OWNER,Habsiguda,5,"8,928 / sq ft"
Ready to move,1015, 55 L,OWNER,Ramachandra Puram,2,"5,418 / sq ft"
Ready to move,1450, 66 L,OWNER,Nagaram Hyderabad South,3,"4,551 / sq ft"
Resale,2700, 1.13 Cr,OWNER,Almasguda,Residential Plot,"4,211 / sq ft"
